;ThetaOz_acuity_left.csv;ThetaO1O2_acuity_left.csv;ThetaPOL_acuity_left.csv;ThetaPOR_acuity_left.csv;ThetaPO_acuity_left.csv;ThetaOz_contrast_left.csv;ThetaO1O2_contrast_left.csv;ThetaPOL_contrast_left.csv;ThetaPOR_contrast_left.csv;ThetaPO_contrast_left.csv;DeltaOz_dots_motion_left.csv;AlphaOz_dots_motion_left.csv;DeltaO1O2_dots_motion_left.csv;AlphaO1O2_dots_motion_left.csv;DeltaPOL_dots_motion_left.csv;AlphaPOL_dots_motion_left.csv;AlphaPOR_dots_motion_left.csv;AlphaPO_dots_motion_left.csv;AlphaO1O2_form_left.csv;DeltaPOL_form_left.csv;AlphaPOR_form_left.csv;DeltaPO_form_left.csv;BetaOz_color_left.csv;BetaO1O2_color_left.csv;BetaPOL_color_left.csv;BetaPOR_color_left.csv;BetaPO_color_left.csv
S2;0.285038152;0.232563858;0.197919211;0.249305533;0.20142558300000002;0.35482284799999997;0.292879811;0.254366122;0.280435175;0.23286113600000002;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.156923137;0.238996703;0.166710734;0.185227278;0.270098061;0.38072424299999996;0.42102939799999994;0.34274845200000004;0.41683375
S3;0.303615333;0.294338327;0.28982611199999997;0.305033987;0.283623848;0.305932697;0.316584827;0.31149518800000003;0.315223396;0.314897991;0.415333325;0.124679155;0.313327316;0.147533002;0.292604281;0.14945965;0.158066041;0.158570331;0.129998291;0.267174559;0.138269694;0.21289516100000003;0.179488313;0.32577373600000004;0.34381674;0.343376691;0.411384905
S5;0.254406471;0.245993975;0.164221536;0.22847114699999999;0.19735096800000002;0.152225938;0.141290879;0.119928804;0.163457505;0.158038929;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.325437798;0.18594723100000002;0.31747031;0.15273852400000001;0.2988484178846154;0.3445119920000001;0.3392605733076924;0.34364892315384626;0.3294314218461538
S6;0.36017502799999995;0.288434786;0.23086487;0.270814826;0.20202615899999998;0.321534571;0.250158096;0.212803455;0.238157664;0.22242980199999998;0.13418791;0.16120479699999998;0.094976327;0.1844019;0.08690284300000001;0.21034967300000001;0.161323851;0.201671519;0.23112559892;0.20070136407999997;0.25876105367999996;0.20975712988;0.356024468;0.487597004;0.434565653;0.360085252;0.44038562600000003
S7;0.390644059;0.324817719;0.33070472;0.323117004;0.297375719;0.38573522;0.320519789;0.317105103;0.366842691;0.303732506;0.302316718;0.13427401;0.194811502;0.18776239;0.201217415;0.195086318;0.175878946;0.20063920600000001;0.150358393;0.263276955;0.169122104;0.20184674800000002;0.157597918;0.280405576;0.293809356;0.272014411;0.33709534799999996
S10;0.331130421;0.255753635;0.247122481;0.257880352;0.21400247;0.275938507;0.192173;0.209236885;0.193854293;0.17866440600000003;0.349900645;0.14510418;0.23177070100000002;0.21539497600000002;0.24897824699999999;0.223477713;0.225569432;0.23880589800000002;0.212958008;0.305836854;0.234902864;0.246389327;0.145325934;0.272000007;0.241694314;0.279719748;0.32018063399999996
S11;0.33929352700000004;0.322417734;0.336147305;0.291104126;0.315659283;0.39961106;0.373911337;0.345946796;0.36848079200000006;0.34300126700000005;0.253989423;0.137319745;0.205821206;0.16148923;0.24371169899999998;0.15659730800000002;0.15789663;0.1662823;0.23112559892;0.20070136407999997;0.25876105367999996;0.20975712988;0.200589679;0.331025411;0.28491140800000003;0.361325603;0.35712209899999997
S13;0.40085373399999996;0.37881299799999996;0.346056305;0.325034505;0.312284773;0.327400222;0.298768745;0.291524386;0.302906141;0.296283794;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.23112559892;0.20070136407999997;0.25876105367999996;0.20975712988;0.358670802;0.35749156600000004;0.35897902200000004;0.376120396;0.348296895
S14;0.218748621;0.19690980600000002;0.199743962;0.190444362;0.192666985;0.330098225;0.260631806;0.253944772;0.240367406;0.222364985;0.18506355800000002;0.238888911;0.103415577;0.29578424;0.12126955;0.276770225;0.270774725;0.292627822;0.450310764;0.093409991;0.42038761799999996;0.069675316;0.32958492300000003;0.422115071;0.436250362;0.397785479;0.422282241
S15;0.370753826;0.307111216;0.23188096;0.228322539;0.21912242199999998;0.34812456399999997;0.32063444;0.306833124;0.314834419;0.30336883;0.177522653;0.264497915;0.126609357;0.32813251600000004;0.122609751;0.373595216;0.41128165;0.37959852200000005;0.323683965;0.15086232900000002;0.452179799;0.133325289;0.148300118;0.278084405;0.27598542600000003;0.297826018;0.309937054
S16;0.298375153;0.214882872;0.23152025199999998;0.22330408;0.20425353699999999;0.34515175299999995;0.224560765;0.20710692100000003;0.214524629;0.178554241;0.395912881;0.10580866900000001;0.23109151100000003;0.154117738;0.244190409;0.15413257800000002;0.15169400800000002;0.176152084;0.126625392;0.34222122299999996;0.129952714;0.225309024;0.186551395;0.34571412799999995;0.36845376700000004;0.363196743;0.397296964
S18;0.303958701;0.271672811;0.259482569;0.257243533;0.283233369;0.31525480899999997;0.299273229;0.261471038;0.259738423;0.246808715;0.205482494;0.232492051;0.109056292;0.284441909;0.10433428199999999;0.28267976100000003;0.346169878;0.30657529;0.25608564899999997;0.100065351;0.25177624;0.113754494;0.333716389;0.43306031799999994;0.405461051;0.433095329;0.42134806
S19;0.372439264;0.361526832;0.279242379;0.326492958;0.299773589;0.306614567;0.291939482;0.273262451;0.301061285;0.30490807600000003;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.360313834;0.14986918300000002;0.374714757;0.198207049;0.2988484178846154;0.3445119920000001;0.3392605733076924;0.34364892315384626;0.3294314218461538
S20;0.360694542;0.345267855;0.258612622;0.346402571;0.284016185;0.41201989899999997;0.301394948;0.271714883;0.31615526;0.230827075;0.2527047412272727;0.19199052600000002;0.20020177209090909;0.22482008468181822;0.19982271513636363;0.2338367707727273;0.24858719936363638;0.24156867618181813;0.23112559892;0.20070136407999997;0.25876105367999996;0.20975712988;0.2988484178846154;0.3445119920000001;0.3392605733076924;0.34364892315384626;0.3294314218461538
