;ThetaOz_acuity_right.csv;ThetaO1O2_acuity_right.csv;ThetaPOL_acuity_right.csv;ThetaPOR_acuity_right.csv;ThetaPO_acuity_right.csv;ThetaOz_contrast_right.csv;ThetaO1O2_contrast_right.csv;ThetaPOL_contrast_right.csv;ThetaPOR_contrast_right.csv;ThetaPO_contrast_right.csv;DeltaOz_dots_motion_right.csv;AlphaOz_dots_motion_right.csv;DeltaO1O2_dots_motion_right.csv;AlphaO1O2_dots_motion_right.csv;DeltaPOL_dots_motion_right.csv;AlphaPOL_dots_motion_right.csv;AlphaPOR_dots_motion_right.csv;AlphaPO_dots_motion_right.csv;AlphaO1O2_form_right.csv;DeltaPOL_form_right.csv;AlphaPOR_form_right.csv;DeltaPO_form_right.csv;BetaOz_color_right.csv;BetaO1O2_color_right.csv;BetaPOL_color_right.csv;BetaPOR_color_right.csv;BetaPO_color_right.csv
S2;0.283304318;0.23047324800000002;0.209241764;0.226384151;0.19989718199999998;0.428340299;0.33782892299999995;0.314845833;0.336426224;0.272652318;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.15567973;0.20044367899999999;0.167536343;0.174711285;0.2275239;0.34803525;0.382870472;0.32840074199999997;0.396132242
S3;0.289673538;0.23755791;0.23054303399999998;0.253164893;0.237016311;0.361174165;0.293683645;0.294415097;0.309450498;0.26143859399999997;0.436539141;0.082762853;0.305214333;0.127310379;0.276177432;0.134389443;0.123813641;0.138450345;0.128625858;0.293649421;0.13841757;0.202225767;0.23892099;0.35151242200000005;0.369947311;0.396390564;0.464375827
S5;0.283899737;0.261816761;0.15801290199999998;0.249555405;0.20575029;0.124163501;0.143980209;0.11515725800000001;0.189840315;0.18200789899999997;0.141904275;0.452405612;0.10565095199999999;0.45522185299999995;0.099271518;0.49739875899999997;0.391337896;0.446023003;0.21144849640740737;0.21622711025925925;0.2299759100740741;0.2252971001481482;0.169811682;0.270584135;0.279469365;0.304373596;0.321176842
S6;0.372952842;0.309939575;0.271240589;0.29555599899999996;0.254262975;0.36751184299999995;0.284161378;0.259272598;0.270472483;0.23112145399999998;0.14788507;0.163883495;0.146318187;0.156167828;0.140885818;0.187953272;0.15720777;0.188028497;0.21144849640740737;0.21622711025925925;0.2299759100740741;0.2252971001481482;0.501507456;0.625623691;0.511578158;0.42855614200000003;0.497899133
S7;0.431273065;0.355410076;0.346294159;0.36387981700000005;0.31149901;0.369633547;0.32274461;0.330598444;0.309207722;0.29581114;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.18047641899999997;0.29642294199999997;0.178668315;0.26179973100000004;0.14371208900000002;0.284406376;0.29976165899999996;0.25383044899999996;0.34680458799999997
S10;0.304697363;0.243564399;0.21865830100000003;0.223628424;0.225547789;0.253756659;0.211282528;0.255803758;0.213976986;0.19436540100000002;0.333138567;0.157943341;0.187740873;0.212030076;0.18600090600000002;0.220815281;0.21454214800000002;0.223206095;0.21167445699999998;0.299432449;0.232523912;0.222430236;0.18003523899999999;0.388040741;0.381265997;0.36721545299999997;0.45404716100000003
S11;0.32725715844827585;0.3017425489655173;0.2751598237931035;0.2814379866551724;0.2794462283103449;0.3138453695517241;0.30398169768965516;0.28232670313793107;0.28680991503448267;0.28011043448275863;0.240490791;0.153895649;0.21098234100000002;0.15395129;0.265476475;0.16060246;0.149357401;0.151982711;0.116906059;0.313437395;0.13743676900000001;0.205532579;0.18661720699999998;0.318725569;0.291028107;0.340818755;0.34995580299999995
S13;0.400452166;0.37082849100000004;0.34338610799999997;0.29617177100000003;0.304380949;0.37860690399999997;0.330137732;0.32195294399999996;0.31325958600000003;0.28768697600000004;0.266255189;0.12528330599999998;0.22737848100000002;0.146152404;0.236252563;0.144596977;0.150408918;0.153455686;0.165893033;0.248356642;0.160574705;0.22851016600000001;0.322878337;0.367654494;0.39744320200000005;0.38409304200000005;0.37049448100000004
S14;0.30282917;0.255705574;0.23756897800000001;0.266949292;0.253458613;0.361379842;0.294288056;0.253819711;0.275862714;0.215327292;0.20192093600000002;0.23211939899999998;0.103220009;0.276348863;0.11233412699999999;0.25211774800000003;0.260235074;0.26453132100000004;0.528897498;0.08244826200000001;0.46163041200000005;0.062445524;0.37136877700000004;0.437650469;0.442983499;0.440641212;0.44123683
S15;0.284503637;0.23906112100000002;0.189499466;0.201783742;0.19978388600000002;0.263889425;0.20802518399999997;0.175401943;0.175148754;0.167174999;0.173211568;0.284800309;0.12375637699999999;0.342609434;0.122546054;0.36736765899999996;0.424252375;0.40197309999999997;0.21144849640740737;0.21622711025925925;0.2299759100740741;0.2252971001481482;0.142327929;0.266589723;0.254431715;0.281554081;0.291509005
S16;0.356260591;0.303159729;0.29264447600000004;0.26816224;0.274213644;0.345750758;0.338409785;0.32901049600000004;0.339502381;0.277866424;0.323215372;0.147779065;0.159632777;0.184189219;0.200708782;0.17595715;0.171983568;0.170690626;0.166265476;0.28212264800000003;0.16157032;0.219764832;0.226311985;0.342108617;0.410335779;0.444548609;0.49374374200000004
S18;0.28519621;0.245535998;0.254637436;0.227191964;0.244505996;0.37906058600000003;0.334496695;0.315383778;0.301563737;0.290312607;0.259265387;0.189380732;0.144854955;0.23222854399999998;0.116753631;0.251397702;0.273313902;0.250020986;0.24844619199999998;0.112642086;0.219503308;0.130503759;0.330410546;0.44366343;0.440507334;0.43955023;0.451538328
S19;0.355829246;0.35009733600000004;0.282908593;0.33616023899999997;0.30306868800000003;0.37338223299999995;0.346258755;0.288783909;0.316717012;0.27902515899999997;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.35491201200000005;0.12593157300000002;0.39246198200000004;0.16784105800000002;0.205294735;0.229284706;0.240393684;0.211952516;0.214359756
S20;0.319350026;0.29896875100000003;0.242604835;0.295639367;0.2460893;0.350185011;0.27744331699999997;0.217923948;0.273112223;0.216165088;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.21144849640740737;0.21622711025925925;0.2299759100740741;0.2252971001481482;0.2928984910000001;0.34046413882758614;0.34261222341379305;0.34547851551724135;0.33456120548275864
S21;0.475863782;0.418518096;0.37215240299999996;0.343174105;0.309219904;0.42603125299999994;0.32654047199999997;0.310434988;0.327959086;0.253777217;0.404246661;0.111347915;0.261394972;0.17023721600000002;0.23975551;0.183121549;0.184610391;0.19078064100000003;0.11824863;0.271078335;0.12993554300000001;0.240451728;0.2928984910000001;0.34046413882758614;0.34261222341379305;0.34547851551724135;0.33456120548275864
S22;0.36206007100000004;0.360415981;0.319543168;0.37850478299999996;0.341523375;0.243007081;0.22197260100000002;0.20981952;0.20749083699999998;0.208307092;0.253581185;0.09801405699999999;0.184184638;0.178619108;0.18645151199999999;0.182970413;0.160709256;0.23189747100000002;0.19100686600000003;0.223248819;0.209805188;0.22164251899999998;0.265857354;0.37172443899999996;0.382760541;0.39504290700000005;0.420246131
S23;0.288566788;0.261165551;0.303782664;0.248346824;0.273506257;0.3138453695517241;0.30398169768965516;0.28232670313793107;0.28680991503448267;0.28011043448275863;0.260842966;0.202173215;0.15444546;0.222279673;0.185581658;0.22176588100000003;0.241544932;0.232474171;0.222884804;0.204167774;0.242379445;0.155371483;0.159782011;0.313530142;0.27897007;0.319580895;0.371664305
S24;0.33507846399999996;0.316627021;0.32251615100000003;0.31118864;0.321879715;0.436483787;0.389305158;0.38377612200000005;0.373157061;0.347058285;0.349293223;0.133137895;0.312883073;0.13933453699999998;0.293856355;0.15241337;0.156993453;0.14380505300000002;0.19259799100000002;0.14504478199999998;0.236870458;0.16932276300000002;0.277943053;0.422651399;0.37252885700000005;0.315677712;0.363512509
S25;0.23701863199999998;0.273478516;0.274718909;0.21032842699999998;0.272822497;0.305060044;0.335800455;0.29051603800000003;0.28232957399999997;0.328808376;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.19259799100000002;0.14504478199999998;0.236870458;0.16932276300000002;0.41411638700000003;0.44392033200000003;0.435969063;0.51049252;0.349652215
S26;0.315030776;0.31848629100000003;0.26643308600000004;0.303675737;0.314018558;0.380474465;0.39537442899999997;0.380944725;0.339365356;0.392140329;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.185376609;0.131963354;0.20044428399999997;0.150610682;0.40818283899999996;0.407744682;0.372868226;0.47598777700000006;0.327458061
S27;0.32725715844827585;0.3017425489655173;0.2751598237931035;0.2814379866551724;0.2794462283103449;0.299225478;0.359454899;0.268125212;0.36036528700000003;0.356764194;0.207367539;0.16500168;0.184395137;0.18800836399999998;0.19933959699999998;0.226071948;0.21004910100000002;0.217029456;0.279567755;0.170346214;0.329321853;0.19866310199999998;0.395174821;0.273634706;0.311463901;0.283527284;0.214504986
S28;0.382604779;0.383242697;0.385983151;0.35430821700000004;0.370885879;0.31176038300000003;0.288527158;0.286291148;0.24014835899999998;0.275966638;0.323675542;0.17243354800000002;0.30703202399999996;0.17141339600000002;0.34950328399999997;0.15708532;0.187720618;0.15764618;0.128855319;0.37775708799999996;0.137482366;0.441855567;0.22372741699999998;0.27394858899999996;0.241732403;0.32459416;0.267872369
S29;0.38865307;0.379553587;0.34482757799999997;0.358994054;0.372618602;0.244822547;0.302597615;0.295906507;0.295070088;0.310963724;0.33399814699999997;0.12675699199999999;0.378133796;0.12086968;0.306349661;0.143750826;0.140287044;0.118973774;0.147090567;0.34312103;0.187373885;0.429239272;0.350359656;0.208231437;0.23192810600000002;0.218908639;0.138414879
S30;0.23084807100000002;0.22303132;0.178627528;0.20814121;0.198418922;0.168029801;0.190339029;0.125022004;0.15020872400000002;0.161296156;0.240718558;0.16133726;0.156803907;0.197581068;0.136649874;0.219747864;0.24525732;0.229087238;0.271925807;0.08739328;0.318442232;0.099872956;0.5181004229999999;0.45062275799999996;0.48209038299999996;0.453170646;0.416605295
S31;0.293423201;0.28449447899999997;0.24484321;0.29324955199999997;0.294484373;0.264564605;0.382999694;0.339533776;0.39934693299999996;0.41235913799999996;0.24548732399999998;0.184380128;0.253254729;0.16374139599999998;0.227828913;0.16990371199999998;0.159528898;0.148702936;0.19106291399999997;0.19188940300000001;0.174500118;0.22678679100000002;0.400985556;0.504912955;0.49039129600000003;0.5195849889999999;0.502917685
S32;0.280686228;0.296405387;0.28843050800000003;0.272770731;0.31346322;0.432944272;0.45921702700000006;0.47509891299999996;0.437339386;0.469689244;0.193049015;0.262334099;0.182485622;0.282633665;0.196239587;0.263789276;0.312997304;0.274347495;0.28305425;0.206496619;0.301872566;0.24235363899999998;0.35885754700000005;0.333984689;0.379857879;0.315378206;0.29475916
S33;0.256869422;0.26818836100000004;0.25500851199999996;0.268299886;0.269026258;0.225555168;0.283487747;0.256936441;0.249270617;0.283053937;0.203392099;0.15992419800000002;0.189909099;0.158005581;0.201099836;0.158880655;0.167265037;0.148519321;0.15412567900000002;0.281060623;0.165565029;0.347975994;0.38131935299999997;0.36492138799999996;0.410954561;0.37375266100000004;0.311545594
S34;0.248996503;0.21752416600000002;0.18868942800000002;0.157416602;0.20954941800000002;0.18030928300000001;0.229033045;0.20048492399999998;0.17828226600000002;0.23357123800000001;0.17147837600000002;0.318834462;0.165094964;0.336543828;0.144591004;0.37245072799999995;0.483249331;0.356413814;0.271634335;0.178730689;0.3786329;0.306825573;0.198199774;0.167363306;0.164088698;0.155717106;0.1368729
S35;0.43861297;0.39913830200000006;0.385001408;0.33883167299999994;0.363666935;0.312027096;0.39484703299999996;0.390853124;0.35788509999999996;0.37687469;0.248892191;0.15348934;0.419515591;0.10155003800000001;0.355487764;0.11551318699999999;0.128925522;0.07650832099999999;0.168402188;0.247073787;0.198515783;0.326681369;0.25047131;0.20353304100000003;0.22708932699999998;0.245165031;0.138559425
S36;0.34966665399999997;0.332381047;0.288425102;0.308289126;0.317389368;0.255719064;0.31989744600000003;0.297132993;0.308523934;0.338096051;0.191746373;0.34163689;0.127464943;0.440898136;0.120379531;0.46873837399999996;0.506249601;0.45340658;0.24130201899999998;0.202167846;0.285238781;0.282004125;0.34364913700000005;0.19193827600000002;0.18028081;0.18385579999999999;0.117285272
S37;0.336256275;0.315764149;0.283411443;0.301954742;0.30199270699999997;0.258666617;0.213334608;0.20422823899999998;0.18620429300000002;0.20352094;0.25631647895833337;0.19087731;0.20798946833333332;0.21491356566666664;0.2041467246666667;0.22619998141666667;0.23341002087499998;0.22366478420833336;0.211598945;0.176660455;0.22577504699999998;0.19827644100000003;0.30060872899999996;0.26691826399999996;0.270764076;0.30651522600000003;0.237130435
