Group;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR
0;0.181081682;0.405836862;0.227455402;0.181379482;0.184399505;0.372529594;0.222724724;0.213815773;0.162234408;0.32134562;0.246521642;0.262209276;0.16786999;0.331927335;0.247631176;0.245663065;0.15914367;0.37838974;0.246564682;0.209721431
0;0.410708666;0.241469203;0.156148152;0.188337266;0.27614883;0.261036331;0.187235452;0.270866556;0.236075757;0.256209667;0.196302198;0.305149149;0.272483955;0.249434636;0.194050291;0.277945544;0.279744065;0.243881432;0.189382836;0.281180382
0;0.138780797;0.22923294;0.418557953;0.210266891;0.182454086;0.24833453;0.349040877;0.216272566;0.182782831;0.194578595;0.361834444;0.255711124;0.145144837;0.143733189;0.47528855;0.231982282;0.180455256;0.2376277;0.338856922;0.239091669
0;0.208528923;0.321728;0.192358735;0.272400802;0.166829249;0.292600875;0.204594656;0.33106465;0.164050524;0.236685181;0.222239445;0.371584119;0.16862874;0.250544975;0.21988859;0.35619697;0.179251744;0.291526254;0.225987223;0.29730271
0;0.23516288;0.440399619;0.150035787;0.170820852;0.15403446;0.398435214;0.182471649;0.261049711;0.191685522;0.34040704;0.174597605;0.289661363;0.178703561;0.394673224;0.168886365;0.254589879;0.216634474;0.355068427;0.17768988;0.2457746
0;0.206119093;0.390247338;0.194413887;0.206358071;0.112754486;0.303556209;0.233302635;0.342899318;0.168296964;0.235582242;0.229017969;0.356717545;0.312681316;0.242999096;0.180005457;0.25827689;0.11128158;0.293853506;0.251029659;0.334870829
0;0.145183923;0.346679876;0.24754604;0.255815823;0.152582857;0.286245436;0.241998437;0.313103932;0.193566132;0.268539485;0.246481052;0.285867868;0.179958197;0.299504103;0.258930107;0.257498484;0.157144723;0.254215005;0.273334894;0.307603661
0;0.240999903;0.355711086;0.146295037;0.25267408;0.221815985;0.335555519;0.167122678;0.271521166;0.230348417;0.291355692;0.16850738;0.305875651;0.208941488;0.313522447;0.162674153;0.310366619;0.201177516;0.295152721;0.187147177;0.312788105
0;0.220513884;0.211096672;0.353255608;0.211445467;0.239878394;0.175436335;0.299665238;0.277907572;0.192071223;0.179430057;0.266358338;0.351245712;0.160448088;0.171001913;0.29387257;0.362244828;0.188575052;0.187798336;0.332985869;0.283885931
0;0.198096562;0.339633031;0.235576849;0.222909013;0.144013349;0.269384313;0.247147016;0.333858917;0.153548527;0.240828813;0.247495031;0.3520021;0.165278315;0.232624949;0.281691092;0.31572962;0.156915697;0.267618429;0.229685762;0.339153715
0;0.11213466;0.31278877;0.18398553;0.386777283;0.093649205;0.309757896;0.213094282;0.377889576;0.105243188;0.31515438;0.259123559;0.314897139;0.089122586;0.312880284;0.234552334;0.359173485;0.10570821;0.281828172;0.255855629;0.350676138
0;0.167032594;0.45325216;0.219127066;0.157877599;0.134367233;0.424640313;0.24916115;0.188717459;0.118605845;0.341110197;0.305359341;0.231079112;0.122045156;0.322599507;0.323239195;0.228054616;0.127554035;0.397487451;0.270108567;0.202060167
0;0.219495369;0.399496041;0.193513651;0.186558942;0.209046246;0.366625284;0.200605975;0.222673548;0.222602208;0.306938555;0.215400765;0.253028061;0.222904317;0.281349367;0.242100293;0.252082425;0.231117764;0.34716949;0.219225552;0.201299969
0;0.233670257;0.365255985;0.149052652;0.22306385;0.18008887;0.386047159;0.169467248;0.247672404;0.195139296;0.344272367;0.170364455;0.279975842;0.197888641;0.304656931;0.159104194;0.315816512;0.199890476;0.363299483;0.166995156;0.251226775
0;0.179412181;0.282030803;0.326924906;0.208431415;0.15559914;0.289736092;0.303833074;0.245516528;0.170910162;0.329327896;0.272834513;0.222050976;0.16087046;0.28901539;0.29747376;0.248604169;0.139538067;0.344671203;0.301523369;0.210162377
0;0.21615149;0.299673105;0.172496324;0.305429873;0.153489687;0.312005219;0.161363465;0.366226768;0.185480993;0.315640342;0.144412636;0.347901274;0.159038483;0.281227847;0.183282796;0.369848054;0.144665066;0.27986887;0.186369816;0.382415003
