;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta;Theta;Alpha ;Beta
S2;Reposo_EEG _AO;0.223564648;0.302267365;0.25056653;0.217138557;0.223374205;0.300796597;0.251070372;0.218394014;0.217142816;0.294951174;0.264642765;0.217007351;0.218012633;0.301948512;0.273211588;0.202064522;0.202376048;0.291331053;0.302612255;0.199434137;0.223408462;0.300372116;0.265580048;0.205317174;0.212930012;0.287635722;0.304575234;0.191080526;0.304161765;0.415860508;0.382451759;0.290087256
S3;Reposo_EEG _AO;0.38482978;0.235400186;0.122562137;0.254812404;0.357508683;0.230215062;0.126604126;0.283402926;0.350047669;0.233381259;0.1396253;0.274532411;0.383679632;0.236708288;0.130391388;0.246563236;0.320720533;0.242845782;0.146272115;0.285559555;0.369231657;0.225693865;0.13952911;0.262914634;0.388536021;0.225811023;0.134087844;0.249031321;0.510910795;0.326011093;0.187814404;0.371363297
S5;Reposo_EEG _AO;0.110752134;0.153054229;0.449096886;0.284377733;0.088991357;0.11572212;0.518588095;0.274127551;0.081032251;0.114412737;0.55087142;0.250918289;0.125037922;0.168563615;0.420933885;0.281805686;0.109809484;0.149086132;0.448202458;0.289221199;0.085845453;0.125032286;0.521549852;0.26515559;0.127163702;0.176645365;0.403637736;0.289492106;0.14572646;0.200503297;0.662576067;0.387019631
S6;Reposo_EEG _AO;0.111712469;0.191604924;0.457800715;0.23655528;0.099636972;0.176986192;0.465112317;0.255410721;0.0987521;0.169732017;0.44348046;0.284417503;0.079684048;0.170634186;0.519531611;0.227066704;0.067814639;0.12366118;0.58959016;0.216080867;0.110510782;0.173741499;0.480431826;0.232722755;0.087814963;0.162935527;0.53825568;0.208802056;0.131185195;0.233859105;0.698840554;0.332211177
S7;Reposo_EEG _AO;0.293646063;0.386129367;0.155232022;0.163001018;0.241041061;0.403008639;0.163014841;0.190502953;0.242040616;0.384532556;0.174766754;0.196394436;0.27970737;0.387364085;0.170595671;0.159908077;0.278120866;0.36874608;0.188463673;0.162360259;0.268360045;0.424646398;0.148513806;0.15623346;0.308148741;0.376464271;0.161218551;0.15225723;0.382212952;0.546178279;0.232361064;0.236131487
S10;Reposo_EEG _AO;0.246609056;0.23683117;0.336091925;0.177470457;0.256884455;0.241994178;0.310615781;0.187885773;0.265809228;0.24264072;0.290068507;0.198848371;0.220334649;0.217653661;0.383766274;0.174874972;0.196128998;0.198185821;0.425224537;0.176913232;0.294284282;0.259197243;0.2739192;0.170381588;0.242256423;0.225929062;0.368461239;0.16053525;0.344461418;0.324486371;0.477629493;0.249381929
S11;Reposo_EEG _AO;0.107918856;0.198125933;0.540779804;0.150690529;0.107334827;0.191408214;0.545139555;0.153532065;0.100198234;0.194850199;0.556863182;0.145907343;0.095796882;0.173971959;0.575490842;0.152029393;0.08637745;0.163015681;0.608219868;0.140459957;0.089232345;0.167117927;0.614526795;0.127338318;0.080162008;0.139858596;0.650787335;0.127348655;0.13340412;0.245669702;0.818361476;0.199461252
S13;Reposo_EEG _AO;0.209559413;0.272558354;0.138691475;0.37358001;0.207609646;0.2521648;0.142292032;0.392025795;0.205016302;0.24819249;0.141208594;0.399948249;0.208937709;0.264245339;0.142731533;0.37905307;0.219430165;0.267930815;0.137805527;0.369772051;0.208800543;0.285858091;0.137025655;0.361952131;0.211313199;0.285910866;0.141322664;0.35619293;0.294133396;0.375372151;0.196215496;0.526504847
S14;Reposo_EEG _AO;0.263991999;0.224382467;0.310648872;0.197631742;0.223017929;0.237067836;0.309294561;0.225207702;0.172179242;0.184219732;0.272454953;0.353248884;0.24423628;0.249926298;0.312257811;0.190509378;0.25854972;0.241018311;0.300158004;0.197424247;0.221286576;0.23983892;0.31580145;0.220283306;0.231135049;0.249733987;0.318881489;0.197974798;0.322879359;0.32523751;0.427899428;0.316456011
S16;Reposo_EEG _AO;0.369573699;0.344578042;0.12405453;0.157456821;0.377536007;0.30949689;0.128724891;0.178936286;0.377711543;0.330841314;0.11985414;0.167226321;0.348911116;0.358840305;0.123973044;0.162825406;0.371498553;0.349115313;0.099276348;0.173993645;0.450643828;0.30666246;0.112083814;0.126977174;0.435715191;0.335957181;0.105327757;0.119324418;0.546317987;0.467098301;0.162658905;0.217348014
