;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S3;Reposo_EEG _AO;0.3848297800143024;0.23540018600062912;0.12256213714729423;0.2548124039643308;0.3575086826554304;0.23021506198574948;0.1266041262154301;0.28340292624363855;0.3500476691347913;0.2333812593202963;0.13962529960620065;0.27453241053311683;0.3836796322747966;0.23670828827035753;0.1303913875142707;0.2465632357935738;0.3207205330658963;0.2428457815629457;0.14627211467942802;0.2855595547043564;0.3692316573193158;0.22569386454638343;0.13952911014145056;0.26291463437626345;0.3885360208584666;0.22581102264563313;0.13408784366783877;0.2490313205246761
S5;Reposo_EEG _AO;0.11075213374319257;0.15305422932668508;0.44909688602089404;0.28437773269599737;0.08899135663817646;0.11572212016333125;0.5185880952181905;0.2741275507572918;0.08103225094347356;0.11441273731590917;0.5508714199354554;0.25091828871121014;0.12503792165617827;0.16856361524465396;0.42093388470724846;0.2818056857594948;0.10980948358709859;0.14908613221724654;0.4482024579018369;0.28922119932662316;0.08584545303718157;0.1250322856877156;0.5215498523828617;0.265155589695765;0.1271637018770843;0.1766453654870894;0.4036377364933881;0.289492105618277
S6;Reposo_EEG _AO;0.11171246919602984;0.19160492367398207;0.45780071478121437;0.23655527986630204;0.09963697177082817;0.1769861916801549;0.46511231680629556;0.2554107206334401;0.09875210000965264;0.1697320165871836;0.4434804598573781;0.28441750342619265;0.07968404845384733;0.17063418566611718;0.5195316105697962;0.22706670447639726;0.06781463941721375;0.12366117956785798;0.5895901597593812;0.21608086713550936;0.11051078165704989;0.1737414989475114;0.4804318257898161;0.23272275493457684;0.0878149631515246;0.16293552715695153;0.5382556803284543;0.2088020564806597
S10;Reposo_EEG _AO;0.24660905550362633;0.2368311696351579;0.33609192472586796;0.17747045742762535;0.2568844547036282;0.2419941783496351;0.3106157810643592;0.18788577321384745;0.2658092275369729;0.24264072015444474;0.29006850745607105;0.19884837126694913;0.22033464857773247;0.2176536608502767;0.38376627411908465;0.17487497235095995;0.19612899758838542;0.19818582092802417;0.4252245367546057;0.17691323210914348;0.29428428160949716;0.2591972425630029;0.27391919957351424;0.1703815882860045;0.24225642273816697;0.22592906217022446;0.36846123897876426;0.16053524972333008
S14;Reposo_EEG _AO;0.26399199868868367;0.22438246684543925;0.31064887244213163;0.19763174152316335;0.22301792868900397;0.2370678358804786;0.3092945605223407;0.22520770198385545;0.17217924189737233;0.18421973190599192;0.2724549534533667;0.35324888424986467;0.24423627954071087;0.24992629755340598;0.3122578114134463;0.19050937844724575;0.25854972005621385;0.24101831119713818;0.3001580042543115;0.19742424673511416;0.22128657647507877;0.23983892025317693;0.3158014499934285;0.22028330610572447;0.2311350493989927;0.24973398669153335;0.3188814885457527;0.19797479758829567
S15;Reposo_EEG _AO;0.049185777345709995;0.1271376480430299;0.6710532081675783;0.14998898129459176;0.0451038070207858;0.11866850263443848;0.6753381119894463;0.15790128468228654;0.045344982782550905;0.1386519551039289;0.6455643602925596;0.16722728925383304;0.05756450672625879;0.1381428409729425;0.6529135232509904;0.14926853485655042;0.06168340846645922;0.14742436406243445;0.639380443603471;0.14995756398845697;0.050532187241051595;0.13738595285717523;0.6547567983518071;0.15506413806550906;0.0654567620862306;0.1525136579304382;0.6172342369672023;0.16260916853351592
S16;Reposo_EEG _AO;0.36957369906879056;0.3445780415536823;0.1240545299647104;0.15745682093452545;0.3775360073707039;0.309496889729084;0.12872489127165038;0.17893628577812723;0.37771154252595984;0.33084131415193446;0.11985414046921523;0.1672263206974822;0.34891111648086187;0.3588403045511502;0.12397304399293636;0.1628254064861731;0.3714985528147304;0.34911531300684606;0.09927634842509517;0.17399364455342892;0.4506438278064247;0.3066624596992608;0.11208381376189618;0.12697717426635066;0.4357151906015017;0.3359571812535567;0.10532775656603222;0.11932441779369914
S21;Reposo_EEG _AO;0.30802181515859256;0.3167086028518547;0.1833218840488236;0.18771067205163752;0.3262770217038843;0.29141295521789584;0.18117929637307997;0.19727000459709604;0.2762449157520246;0.2885896575271242;0.2201327655582829;0.21097975242127745;0.2943782155350916;0.2992336329767153;0.20636546499745367;0.19516832277343105;0.3034911744148676;0.2961125320648338;0.1982161942447787;0.19704217757224682;0.3110374514844846;0.31801637156318185;0.1787005129756179;0.18763779129249178;0.3215487271675511;0.31239136856597355;0.18218276915306392;0.1792835561072835
S22;Reposo_EEG _AO;0.22033672022914674;0.20152542745697313;0.12901634687837132;0.4297474189028457;0.19049821489749605;0.19500641514678194;0.14552247656106046;0.4476351046679424;0.1930613031797562;0.19993485740484157;0.14106852888119312;0.44520483732311705;0.20667630566245015;0.20172062731126195;0.1348870296168085;0.4366162071430396;0.2115953741537633;0.1962310801443433;0.1340790675793572;0.43716217468328683;0.18501533233129766;0.20580921761081136;0.1394626009375794;0.44895522015649475;0.19435639310773917;0.1841148005769355;0.152477145580148;0.4491946508149694
S23;Reposo_EEG _AO;0.1993111204981563;0.2518304764487666;0.3478337312619058;0.19500399920559874;0.19466028333655253;0.26832549453257654;0.3541181545299555;0.1778611755709387;0.1830540553766993;0.25783565661374824;0.3795415161435213;0.1748184049529106;0.18917885218797947;0.23510254033737163;0.33858861460735773;0.2285894104922571;0.19892027014129307;0.24352155976634585;0.3440823350829131;0.2068850713873074;0.19922111840878404;0.25082854743270755;0.39790280190323296;0.14890153119774518;0.18687414183919523;0.23477970652979874;0.4097641114429191;0.165050356814222
S24;Reposo_EEG _AO;0.2394113846915084;0.32890491297914404;0.24129646289904558;0.18863771032372947;0.2403707927001546;0.31941165465774457;0.2431775333746721;0.1954251103583674;0.2021555121610976;0.3250573237633209;0.25244121724950624;0.21825845170755748;0.2540516424737543;0.3170725815063077;0.24243401596792827;0.18462916540340996;0.2519082580857944;0.31413717454181245;0.24660256080920293;0.18517796720477853;0.21432091430858802;0.30275990863728464;0.27800257063180955;0.2028858830135625;0.23511302702252004;0.3120460240835161;0.26252230064070653;0.18847266033370477
S27;Reposo_EEG _AO;0.1555254330590608;0.37950778838572474;0.24317962147384642;0.21925124651117542;0.14608672977230117;0.3809841369909747;0.2669256962020203;0.20290689755160285;0.12028587653033235;0.3875647636951577;0.2993650420423524;0.18969843784294518;0.162882914153073;0.36564094678167314;0.2566346160268985;0.2119879318666482;0.13076670712981314;0.3639114418546643;0.28064715021940945;0.22111047084522392;0.1352506663130423;0.365043365635877;0.30451593833039603;0.19293984775375353;0.12817067657844053;0.3164615395961979;0.33659415665288944;0.216809982860112
S28;Reposo_EEG _AO;0.35790705835917824;0.31073603664731697;0.17287582004808225;0.15586607579703354;0.3315652995042364;0.28291226742092074;0.21355445777467455;0.1690202129590745;0.3076430219070163;0.2746294279173131;0.22443674939118075;0.19089521437234552;0.25051100829161954;0.23076689126073743;0.294242424532892;0.22069071141030028;0.2379617635100746;0.19726397773891396;0.30917732704482537;0.2515528938176596;0.3218393858671174;0.2572331514243158;0.23483197963514477;0.1838997333813988;0.27119440258723665;0.19718622275318842;0.30412803761821255;0.2248092443402615
S29;Reposo_EEG _AO;0.16271470148271427;0.19392257871104152;0.3675223530844854;0.26615754709510564;0.15430992408785796;0.17725813752636055;0.414996878308438;0.24524112695902578;0.13209649841029333;0.13578648363124504;0.49349041830285234;0.22980683088854229;0.12970182561991414;0.14702055970681543;0.4760352179576173;0.24016042478975008;0.09792253217279336;0.09879941731329296;0.6043409732895383;0.19347957346530043;0.24118981479832166;0.231184336168137;0.27502631823611773;0.24474945969113784;0.19718041898669988;0.19132481716988303;0.370136784127165;0.23424780812276808
S30;Reposo_EEG _AO;0.09957471666493765;0.21903878035627528;0.30496988970829875;0.37305744274691566;0.09603830745020742;0.1971328509905017;0.3354558755678099;0.3680582502725454;0.08673475252555754;0.16897715337617183;0.3704650674043892;0.3713307944728577;0.15438339944969962;0.22244638959344054;0.24182843328041387;0.37663368363577476;0.09056230521660907;0.15053741535395676;0.3904106921909797;0.3659917766510633;0.09167255221269296;0.1916559053418614;0.35981484803293495;0.3537089205268504;0.08853342445751662;0.17336114813435455;0.40206743072923967;0.3333285886311939
