Subject;Test;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR
S2;Reposo_EEG_OD;0.215636885;0.305002139;0.210797514;0.262119527;0.18565673;0.248886506;0.199287072;0.356391617;0.20674001;0.225627126;0.201478988;0.355749451;0.171615787;0.235172653;0.201727014;0.380427768;0.189982566;0.278879286;0.198606245;0.323447129
S3;Reposo_EEG_OD;0.329693263;0.227496013;0.162241964;0.273096749;0.234878704;0.209335361;0.19605072;0.353220296;0.232909461;0.191125465;0.181696183;0.385703213;0.247222282;0.20615582;0.170421075;0.370430326;0.240897193;0.198908001;0.204205671;0.34997131
S5;Reposo_EEG_OD;0.174372282;0.177851423;0.434484944;0.21031731;0.214266481;0.171589937;0.389001848;0.221692542;0.344835121;0.199927433;0.272014052;0.179787403;0.190388821;0.132684913;0.459876907;0.213735944;0.260777568;0.193294356;0.319270023;0.222328201
S6;Reposo_EEG_OD;0.166261463;0.18260696;0.330741065;0.31353059;0.111897897;0.159673323;0.30960224;0.408447093;0.110219591;0.161814673;0.290405331;0.430715782;0.119786048;0.162884774;0.295390307;0.41363642;0.094523481;0.127194865;0.374243451;0.397271865
S7;Reposo_EEG_OD;0.211327993;0.422162708;0.165319842;0.198327625;0.153034474;0.315477653;0.196289623;0.331782266;0.151074561;0.300816804;0.198323268;0.346680577;0.152501578;0.31566852;0.2029404;0.325824922;0.182249354;0.334133902;0.186418429;0.292520528
S10;Reposo_EEG_OD;0.234580919;0.407567243;0.179416921;0.173906867;0.182920423;0.279614604;0.234231277;0.295589616;0.196602967;0.256660504;0.240963264;0.297805469;0.179086046;0.28761041;0.235069429;0.291818764;0.173226372;0.267612766;0.251983575;0.298435722
S11;Reposo_EEG_OD;0.380169804;0.307863401;0.132494523;0.174852909;0.392545035;0.312655462;0.130885497;0.16004547;0.395631264;0.315974594;0.130549533;0.154344665;0.395289603;0.315834044;0.130705658;0.154659354;0.377115347;0.308426227;0.132413077;0.177298894
S13;Reposo_EEG_OD;0.236443571;0.280374592;0.149187477;0.32950307;0.204271305;0.220165142;0.162256579;0.406202968;0.218332421;0.213768113;0.169137955;0.389934877;0.21392913;0.230052972;0.145901838;0.401990923;0.201737972;0.214124707;0.191036606;0.387687025
S14;Reposo_EEG_OD;0.291517205;0.214947315;0.32405688;0.166436795;0.193869323;0.165656849;0.34804298;0.284846169;0.14592875;0.158118315;0.346499663;0.341333275;0.178250395;0.190824749;0.335416788;0.289483769;0.174888232;0.154356038;0.381143043;0.282055816
S15;Reposo_EEG_OD;0.0702186;0.128031921;0.590303121;0.209664452;0.041775997;0.092928631;0.611590854;0.25086001;0.063621145;0.128230541;0.589943367;0.215655068;0.050297406;0.119087614;0.584198888;0.243102882;0.052324127;0.109496592;0.613711308;0.22242452
S16;Reposo_EEG_OD;0.328037047;0.289799114;0.160476788;0.217940901;0.217257056;0.226908213;0.181810903;0.367463994;0.291146243;0.215692166;0.148324844;0.339042284;0.281833739;0.222830422;0.162011297;0.326351771;0.233022859;0.226456549;0.169704664;0.365658151
S18;Reposo_EEG_OD;0.266951722;0.253804;0.24623313;0.229955575;0.139392792;0.20142366;0.342755348;0.313739968;0.130161865;0.18435911;0.37543235;0.307366307;0.117885078;0.196526371;0.413885892;0.269211844;0.149423255;0.164910941;0.353941582;0.328833056
S19;Reposo_EEG_OD;0.170559449;0.24723653;0.378167374;0.201643656;0.1621574;0.247050744;0.388163949;0.200358123;0.171321337;0.291790143;0.345288584;0.188926981;0.116500067;0.235198267;0.433457528;0.211417714;0.173203935;0.290722923;0.342505544;0.191268463
S20;Reposo_EEG_OD;0.231759795;0.201751466;0.447647867;0.118132007;0.150646261;0.128250105;0.546467544;0.173188776;0.121492494;0.125601108;0.518530397;0.232196037;0.159465076;0.149646457;0.476749639;0.212734403;0.131601694;0.121516013;0.586206422;0.15905638
S21;Reposo_EEG_OD;0.341343617;0.353040121;0.13687116;0.161798941;0.199424542;0.251907928;0.192165066;0.349511006;0.202520588;0.214997812;0.161169896;0.411556415;0.198855281;0.257105109;0.187684319;0.349240243;0.209389342;0.271822925;0.187622829;0.323990286
S22;Reposo_EEG_OD;0.265905569;0.233688027;0.130696613;0.3524672;0.189829672;0.197232683;0.19510462;0.404572958;0.239492824;0.188055646;0.21742584;0.348132297;0.211574635;0.184529699;0.199800434;0.392289514;0.186595116;0.212451021;0.196546601;0.390922775
S23;Reposo_EEG_OD;0.324132463;0.278523336;0.140710477;0.249318057;0.323764472;0.279041396;0.140677247;0.249185321;0.3242345;0.276283437;0.141957536;0.250165339;0.314908193;0.279731298;0.148642269;0.249575105;0.324952683;0.277946957;0.140796232;0.249019693
S24;Reposo_EEG_OD;0.184810177;0.324144424;0.341237538;0.14728515;0.134736108;0.266559644;0.402261013;0.191554925;0.173036507;0.235896662;0.408985845;0.177682756;0.163905856;0.2820677;0.326879718;0.221326671;0.105241265;0.20669825;0.529404202;0.155787656
S25;Reposo_EEG_OD;0.224526848;0.152084854;0.147637386;0.463792577;0.096383165;0.159950658;0.200579604;0.526698982;0.155559385;0.205112369;0.188274852;0.436781157;0.105275934;0.152180089;0.214255414;0.511695807;0.117377538;0.153226159;0.178973234;0.535528884
S26;Reposo_EEG_OD;0.114971344;0.316459044;0.235194637;0.328316174;0.108716273;0.328433816;0.273636702;0.287328201;0.17006467;0.324956297;0.270051319;0.2333127;0.127448144;0.277009542;0.288909839;0.304288501;0.147149464;0.302605462;0.284382455;0.26339736
S27;Reposo_EEG_OD;0.144588616;0.230165399;0.351158831;0.269002804;0.081623918;0.253529367;0.494301235;0.168234466;0.057467947;0.275382986;0.529390537;0.135825438;0.070349316;0.217399099;0.545761925;0.164477796;0.060306892;0.264655509;0.499621527;0.172507484
S28;Reposo_EEG_OD;0.264788937;0.348944506;0.192153572;0.19151742;0.167917517;0.301161894;0.241153981;0.287290175;0.163263843;0.260751144;0.236739592;0.33640595;0.202122531;0.292163617;0.238887724;0.264470234;0.138475242;0.223494435;0.260730462;0.374542247
S29;Reposo_EEG_OD;0.257363393;0.177844199;0.226632404;0.331717232;0.192089441;0.186282299;0.355208925;0.262242309;0.265993614;0.206551034;0.334938565;0.190287557;0.178746898;0.204902047;0.348032056;0.264624403;0.123199416;0.132708335;0.491464639;0.249458286
S30;Reposo_EEG_OD;0.104054997;0.254546208;0.273863435;0.364541033;0.104628658;0.170811567;0.295157315;0.426918038;0.093716156;0.131231418;0.331796057;0.439287451;0.079439192;0.159031121;0.32951208;0.429040834;0.089792524;0.133512588;0.334661486;0.438941357
S31;Reposo_EEG_OD;0.155967276;0.201575549;0.286873954;0.347144318;0.151446219;0.163745633;0.324830437;0.350897446;0.169213667;0.211847439;0.306043749;0.305626686;0.12449283;0.196953893;0.319111891;0.350633309;0.123317112;0.157003513;0.295520007;0.413284726
S32;Reposo_EEG_OD;0.193117351;0.216340466;0.311963015;0.275054761;0.135669737;0.188079224;0.390716564;0.281853824;0.145590046;0.200969006;0.393719596;0.256039679;0.144812399;0.19090045;0.379105032;0.281806957;0.116079796;0.172796602;0.445912141;0.261402756
S33;Reposo_EEG_OD;0.168523272;0.15579622;0.279396338;0.387551889;0.156086693;0.158672886;0.328212077;0.349361071;0.239843949;0.182193081;0.26428169;0.307680268;0.180269409;0.155412599;0.267555842;0.39023685;0.134365091;0.155679061;0.369167828;0.333713431
S34;Reposo_EEG_OD;0.165512216;0.191594969;0.4628976;0.176754384;0.092126651;0.134467769;0.611849836;0.159091262;0.149213852;0.201582764;0.499364419;0.147904473;0.108534556;0.153555687;0.543698563;0.191594072;0.095815659;0.17116816;0.551759813;0.178512725
S35;Reposo_EEG_OD;0.395286034;0.267285698;0.115952064;0.215286225;0.320619332;0.329567058;0.129853623;0.215792897;0.397693614;0.34026861;0.106518699;0.153531408;0.288582158;0.329128953;0.135948493;0.242131436;0.252800798;0.283198179;0.180074723;0.280146551
S36;Reposo_EEG_OD;0.136013338;0.181406045;0.532663033;0.147988218;0.07957708;0.148205723;0.677451549;0.09406156;0.09086084;0.158276688;0.665532622;0.084830518;0.066505626;0.12892825;0.70932503;0.094388605;0.076582352;0.143564992;0.681977231;0.096977785
S37;Reposo_EEG_OD;0.160407638;0.193997506;0.383940221;0.260204693;0.112783851;0.146242328;0.496753091;0.243070785;0.109404028;0.130218275;0.544969442;0.214457913;0.110407478;0.147013618;0.493414936;0.248011771;0.079400055;0.125959686;0.56412308;0.229505395
