Subject;Test;DeltaOz;ThetaOz;AlphaOz;BetaOz;DeltaO1O2;ThetaO1O2;AlphaO1O2;BetaO1O2;DeltaPO;ThetaPO;AlphaPO;BetaPO;DeltaPOL;ThetaPOL;AlphaPOL;BetaPOL;DeltaPOR;ThetaPOR;AlphaPOR;BetaPOR
S2;Reposo_EEG_OI;0.241361469;0.337117687;0.203118845;0.212203994;0.136437569;0.302798141;0.225394321;0.324657911;0.150774379;0.253649723;0.232928825;0.35257805;0.134842925;0.291673335;0.214960562;0.346329138;0.15983906;0.289784969;0.248906383;0.294754481
S3;Reposo_EEG_OI;0.32802576;0.264380174;0.158732976;0.246496339;0.195596415;0.213340223;0.191870074;0.395953748;0.155589483;0.17628902;0.223599922;0.440515333;0.189509539;0.197479185;0.203583296;0.405752698;0.190568715;0.200766695;0.227386953;0.378352578
S5;Reposo_EEG_OI;0.055807495;0.115624056;0.540852556;0.285666033;0.044528251;0.091219893;0.589647889;0.272191873;0.065394716;0.09506504;0.552451218;0.284440247;0.038704179;0.075050925;0.629714502;0.25448822;0.055560366;0.114344866;0.4986752;0.328433023
S6;Reposo_EEG_OI;0.133084961;0.164073843;0.524131074;0.175076799;0.096807919;0.142576835;0.508284171;0.247226765;0.095609738;0.137649978;0.455809592;0.304287792;0.09475422;0.146078292;0.462913451;0.289739297;0.089453446;0.112036071;0.591712482;0.201208966
S7;Reposo_EEG_OI;0.170991727;0.426362934;0.21711997;0.181407014;0.120462043;0.298643422;0.247509272;0.329492919;0.159059065;0.245100877;0.22228929;0.368158951;0.127159747;0.306428526;0.238468272;0.324515304;0.162549926;0.304032279;0.227682388;0.300582058
S10;Reposo_EEG_OI;0.226369688;0.279563286;0.354561489;0.136778365;0.132783605;0.205582536;0.418721314;0.236993836;0.163169028;0.198790561;0.355218393;0.275818355;0.220910616;0.257075293;0.2669261;0.2501873;0.109570991;0.160999222;0.519921054;0.203617392
S11;Reposo_EEG_OI;0.182323247;0.254578526;0.382942607;0.176148661;0.126342096;0.163661273;0.494822867;0.209043293;0.115058348;0.13283464;0.55910683;0.188409118;0.1231048;0.159996959;0.539570609;0.173152627;0.112115121;0.143447914;0.54795291;0.192316227
S13;Reposo_EEG_OI;0.241442217;0.286097136;0.171548913;0.296591372;0.181405239;0.27418025;0.185696357;0.353165807;0.178663844;0.298498974;0.183467635;0.332713852;0.174621655;0.292588493;0.17783162;0.349058663;0.173936573;0.290811281;0.186829442;0.342171743
S14;Reposo_EEG_OI;0.265820979;0.186398026;0.364699659;0.180443533;0.160062894;0.138338476;0.415698053;0.280669675;0.137197306;0.120704755;0.400378877;0.33362247;0.148763604;0.120282131;0.425260682;0.296947679;0.166917942;0.131707061;0.429633683;0.267378112
S15;Reposo_EEG_OI;0.048584566;0.152280443;0.645042947;0.152363106;0.044555277;0.100517866;0.686634881;0.165863307;0.076839427;0.111665824;0.640625988;0.168583968;0.04726858;0.10678125;0.664633002;0.178968764;0.067326657;0.115462551;0.651751464;0.163379658
S16;Reposo_EEG_OI;0.27827526;0.313820922;0.17972026;0.22476952;0.1498965;0.263051435;0.212333739;0.36741643;0.128024202;0.234979636;0.220086253;0.406984635;0.173295294;0.273266792;0.221034281;0.324624769;0.151952356;0.243601406;0.21100147;0.385597337
S18;Reposo_EEG_OI;0.229331708;0.327130845;0.197623643;0.242314144;0.109802762;0.285290345;0.269569901;0.330750701;0.114057295;0.239193085;0.329957385;0.312092277;0.094965193;0.269600748;0.314171044;0.317917957;0.101599141;0.235684799;0.350520122;0.306695814
S19;Reposo_EEG_OI;0.212299184;0.284860879;0.29209205;0.208110953;0.181969898;0.267274035;0.308354596;0.239032349;0.178497364;0.296004335;0.296160331;0.225576389;0.151253901;0.258895559;0.329880198;0.254866218;0.17805585;0.294973293;0.304061364;0.220052815
S20;Reposo_EEG_OI;0.305963636;0.327704361;0.162278182;0.202563344;0.209804531;0.251379888;0.24314855;0.293224839;0.221840668;0.195755795;0.271979886;0.306985753;0.204447082;0.235462608;0.27767371;0.27965974;0.221031227;0.237536414;0.239637417;0.298464262
S21;Reposo_EEG_OI;0.359526065;0.300907361;0.168349815;0.167875588;0.196069912;0.228800285;0.231151426;0.337522621;0.204494016;0.193437356;0.182255221;0.409159239;0.218352563;0.224867485;0.215242422;0.335094825;0.241462625;0.229355396;0.212463789;0.31074582
